,Unnamed: 0,mainInfo,location,point,latitude,longitude,altitude
106,106,Latifabad,"لطِيف آباد, حیدرآباد, سندھ, 91000, پاکستان","(25.3677817, 68.3565734, 0.0)",25.3677817,68.3565734,0
107,107,Padidan,"پڈعیدن, سندھ, پاکستان","(26.7819818, 68.2796342, 0.0)",26.7819818,68.2796342,0
108,108,Tando Jam,"ٹنڈو جام, سندھ, پاکستان","(25.4245266, 68.5296162, 0.0)",25.4245266,68.5296162,0
109,109,Jacobabad,"جیکب آباد, سندھ, 79000, پاکستان","(28.2813094, 68.4364361, 0.0)",28.2813094,68.4364361,0
110,110,Hyderabad,"Hyderabad, Telangana, India","(25.396, 68.3578, 0.0)",25.396,68.3578,0
111,111,Karachi,"کراچی, سندھ, کراچی, 74400, پاکستان","(24.8546842, 67.0207055, 0.0)",24.8546842,67.0207055,0
112,112,Dadu,"Dadu, Cârlibaba, Suceava, 727116, România","(26.7341, 67.7795, 0.0)",26.7341,67.7795,0
113,113,Larkana,"لاڑکانہ, ضلع لاڑکانہ, سندھ, 77150, پاکستان","(27.5564798, 68.2101509, 0.0)",27.5564798,68.2101509,0
114,114,Ghotki,"گھوٹکی, Ghotki Khanpur Road, عادل پور, سندھ, پاکستان","(27.9939917, 69.3134549, 0.0)",27.9939917,69.3134549,0
115,115,Qambar,"Qambar, ناحية عقيربات, منطقة سلمية, محافظة حماة, سوريا","(27.5859, 68.0060, 0.0)",27.5859,68.006,0
116,116,Kot Diji,"کوٹ ڈیجی, سندھ, پاکستان","(27.3430938, 68.7093634, 0.0)",27.3430938,68.7093634,0
117,117,Sehwan,"سیہون شریف, سندھ, پاکستان","(26.4255959, 67.8625638, 0.0)",26.4255959,67.8625638,0
118,118,Latifabad,"لطِيف آباد, حیدرآباد, سندھ, 91000, پاکستان","(25.3677817, 68.3565734, 0.0)",25.3677817,68.3565734,0
119,119,Padidan,"پڈعیدن, سندھ, پاکستان","(26.7819818, 68.2796342, 0.0)",26.7819818,68.2796342,0
120,120,Nawabshah,"نوابشاہ, سندھ, پاکستان","(26.2452915, 68.4040229, 0.0)",26.2452915,68.4040229,0
121,121,Thatta,"Thatta, Ajnala Tahsil, Amritsar, Punjab, 143109, India","(24.7475, 67.9106, 0.0)",24.7475,67.9106,0
122,122,Kotri,"Kotri, Kotri Tehsil, Bhilwara District, Rajasthan, India","(25.3494, 68.2743, 0.0)",25.3494,68.2743,0
123,123,Sukkur,"سکھر, سندھ, پاکستان","(27.6961883, 68.8588754, 0.0)",27.6961883,68.8588754,0
124,124,Sakrand,"سکرنڈ, سندھ, پاکستان","(26.1359715, 68.2734653, 0.0)",26.1359715,68.2734653,0
125,125,Daharki,"ڈھرکی‎, سندھ, پاکستان","(28.052158, 69.7030649, 0.0)",28.052158,69.7030649,0
126,126,kotri,"Kotri, Kotri Tehsil, Bhilwara District, Rajasthan, India","(25.3494, 68.2743, 0.0)",25.3494,68.2743,0
127,127,Thatta,"Thatta, Ajnala Tahsil, Amritsar, Punjab, 143109, India","(24.7475, 67.9106, 0.0)",24.7475,67.9106,0
128,128,Nawabshah,"نوابشاہ, سندھ, پاکستان","(26.2452915, 68.4040229, 0.0)",26.2452915,68.4040229,0
129,129,Padidan,"پڈعیدن, سندھ, پاکستان","(26.7819818, 68.2796342, 0.0)",26.7819818,68.2796342,0
130,130,Dadu,"Dadu, Cârlibaba, Suceava, 727116, România","(26.7341, 67.7795, 0.0)",26.7341,67.7795,0
131,131,Kotri,"Kotri, Kotri Tehsil, Bhilwara District, Rajasthan, India","(25.3494, 68.2743, 0.0)",25.3494,68.2743,0
